,country,year,coal_cons_per_capita,fossil_energy_per_capita,gas_energy_per_capita,hydro_energy_per_capita,nuclear_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,solar_energy_per_capita,wind_energy_per_capita,coal_share_energy,fossil_share_energy,gas_share_energy,hydro_share_energy,nuclear_share_energy,oil_share_energy,renewables_share_energy,solar_share_energy,wind_share_energy,coal_elec_per_capita,fossil_elec_per_capita,gas_elec_per_capita,hydro_elec_per_capita,nuclear_elec_per_capita,oil_elec_per_capita,renewables_elec_per_capita,solar_elec_per_capita,wind_elec_per_capita,coal_share_elec,fossil_share_elec,gas_share_elec,hydro_share_elec,nuclear_share_elec,oil_share_elec,renewables_share_elec,solar_share_elec,wind_share_elec
2408,Belgium,2022,2744.635,42769.266,12485.879,70.599,9386.54,27538.754,6240.019,1514.476,2663.322,4.7,73.24,21.381,0.121,16.074,47.159,10.686,2.593,4.561,3.432,2263.227,1983.541,17.159,3786.058,276.254,2065.045,630.581,1035.525,0.042,27.892,24.445,0.211,46.659,3.405,25.449,7.771,12.762
4933,Croatia,2022,1186.811,17149.828,6046.492,3506.509,0.0,9916.524,6318.343,104.437,1487.169,5.057,73.077,25.765,14.942,0.0,42.255,26.923,0.445,6.337,382.1,1285.245,900.664,1327.425,0.0,2.481,2218.163,37.218,563.225,10.907,36.686,25.708,37.89,0.0,0.071,63.314,1.062,16.076
6238,Estonia,2022,25660.084,39405.848,2730.869,46.085,0.0,11014.897,7099.013,1164.383,1299.819,55.177,84.735,5.872,0.099,0.0,23.685,15.265,2.504,2.795,0.0,3521.7,30.164,15.082,0.0,3491.536,2767.589,399.679,475.09,0.0,55.995,0.48,0.24,0.0,55.516,44.005,6.355,7.554
7231,Finland,2022,6123.523,24868.705,1953.809,6428.19,11396.982,16791.373,22700.471,148.123,5601.196,10.385,42.175,3.313,10.901,19.328,28.476,38.497,0.251,9.499,536.029,1418.582,238.235,2479.811,4522.857,644.318,7231.879,54.144,2183.822,4.069,10.769,1.808,18.824,34.333,4.891,54.898,0.411,16.578
7354,France,2022,920.022,19371.66,5937.455,1798.676,11409.492,12514.184,5270.644,812.113,1533.291,2.552,53.733,16.469,4.989,31.648,34.712,14.62,2.253,4.253,68.083,882.918,665.36,714.566,4598.724,149.474,1782.857,309.16,595.111,0.937,12.154,9.159,9.836,63.304,2.058,24.542,4.256,8.192
7803,Germany,2022,7763.265,31225.268,9270.737,547.259,1041.292,14191.266,8710.929,1900.926,3917.965,18.945,76.201,22.624,1.336,2.541,34.632,21.258,4.639,9.561,2171.049,3546.846,1155.214,209.308,437.928,220.583,2999.526,707.45,1512.537,31.085,50.783,16.54,2.997,6.27,3.158,42.947,10.129,21.656
8090,Greece,2022,1927.131,24361.199,5966.988,1142.348,0.0,16467.082,6049.146,1795.8,2731.278,6.337,80.108,19.622,3.756,0.0,54.15,19.892,5.905,8.981,525.76,2862.791,1883.491,455.466,0.0,453.54,2186.814,637.46,1045.742,10.412,56.693,37.3,9.02,0.0,8.982,43.307,12.624,20.709
8981,Hungary,2022,1385.822,20260.748,9209.361,46.087,3968.923,9665.565,2430.819,1216.101,158.123,5.198,75.995,34.543,0.173,14.887,36.254,9.118,4.561,0.593,290.951,1217.982,888.906,19.062,1590.199,38.125,755.47,448.466,61.2,8.164,34.178,24.944,0.535,44.623,1.07,21.199,12.584,1.717
10922,Lithuania,2022,812.267,20259.76,5844.902,442.436,0.0,13602.591,2891.293,195.65,1433.578,3.509,87.511,25.247,1.911,0.0,58.756,12.489,0.845,6.192,0.0,381.81,221.814,163.633,0.0,159.997,1134.521,156.36,578.17,0.0,25.18,14.628,10.791,0.0,10.552,74.82,10.312,38.129
13213,Netherlands,2022,3672.28,47356.742,15456.154,7.434,592.269,28228.312,8051.746,2623.714,3139.695,6.558,84.564,27.6,0.013,1.058,50.407,14.378,4.685,5.607,831.245,3902.865,2727.166,3.416,235.709,344.454,2744.246,958.209,1230.356,12.077,56.704,39.623,0.05,3.425,5.005,39.871,13.922,17.876
14590,Norway,2022,1717.793,27499.533,7337.223,61221.418,0.0,18444.516,69426.695,131.034,7110.647,1.772,28.372,7.57,63.163,0.0,19.029,71.628,0.135,7.336,7.361,288.904,143.532,24799.773,0.0,138.012,27806.586,31.283,2924.007,0.026,1.028,0.511,88.27,0.0,0.491,98.972,0.111,10.407
16454,Poland,2022,12580.693,27248.246,4498.604,128.731,0.0,10168.948,2817.173,532.192,1271.74,41.844,90.63,14.963,0.428,0.0,33.823,9.37,1.77,4.23,3113.62,3551.936,316.38,51.685,0.0,121.935,946.631,204.48,495.771,69.214,78.957,7.033,1.149,0.0,2.711,21.043,4.545,11.021
17693,Slovakia,2022,5192.275,23349.289,9115.729,1649.45,7046.819,9041.286,3491.58,301.595,2.31,15.322,68.902,26.9,4.867,20.795,26.68,10.303,0.89,0.007,272.882,845.227,388.06,648.539,2817.423,184.284,1073.81,122.266,0.0,5.761,17.845,8.193,13.692,59.484,3.891,22.671,2.581,0.0
18413,Spain,2022,986.387,23462.137,6959.187,999.729,3082.48,15516.564,7070.712,1850.617,3437.356,2.934,69.796,20.702,2.974,9.17,46.159,21.034,5.505,10.226,160.223,2231.771,1829.321,395.302,1228.589,242.227,2528.248,689.044,1300.5,2.675,37.267,30.547,6.601,20.515,4.045,42.218,11.506,21.716
18759,Sweden,2022,1925.709,15754.809,697.639,17240.004,12223.56,13131.461,31948.436,650.358,8061.895,3.213,26.29,1.164,28.768,20.397,21.913,53.312,1.085,13.453,0.948,290.065,27.49,6555.855,4855.276,261.628,11128.649,221.815,3150.906,0.006,1.782,0.169,40.284,29.835,1.608,68.383,1.363,19.362
18882,Switzerland,2022,117.588,15704.048,3391.58,8818.778,6615.663,12194.879,11031.041,1112.399,45.4,0.353,47.088,10.169,26.443,19.837,36.566,33.076,3.335,0.136,0.0,258.567,0.0,3902.536,2632.581,258.567,4230.893,308.908,6.865,0.0,3.631,0.0,54.795,36.964,3.631,59.406,4.337,0.096
